date,nada,lembing,reman,nada_imputed,lembing_imputed,reman_imputed
2010-05-28,0.0,0.0,0.0,0,0,0
2010-05-29,0.0,0.0,0.0,0,0,0
2010-05-30,3.0,1.5,0.5,0,0,0
2010-05-31,0.0,0.0,0.0,0,0,0
2010-06-01,0.0,0.0,0.0,0,0,0
2010-06-02,0.5,0.0,0.0,0,0,0
2010-06-03,0.0,0.5,1.4,0,0,0
2010-06-04,32.1,43.0,47.2,0,0,0
2010-06-05,9.9,11.5,22.9,0,0,0
2010-06-06,0.4,19.9,2.9,0,0,0
2010-06-07,3.6,8.1,4.6,0,0,0
2010-06-08,0.0,0.0,0.0,0,0,0
2010-06-09,0.5,0.5,0.5,0,0,0
2010-06-10,1.0,0.5,1.0,0,0,0
2010-06-11,0.0,0.0,0.0,0,0,0
2010-06-12,7.5,5.5,1.0,0,0,0
2010-06-13,0.0,0.0,0.5,0,0,0
2010-06-14,0.0,0.0,0.0,0,0,0
2010-06-15,3.5,11.5,0.0,0,0,0
2010-06-16,0.0,0.0,0.0,0,0,0
2010-06-17,0.0,0.0,0.0,0,0,0
2010-06-18,0.0,0.0,0.0,0,0,0
2010-06-19,0.0,0.0,0.0,0,0,0
2010-06-20,6.4,3.4,2.9,0,0,0
2010-06-21,47.1,52.5,57.0,0,0,0
2010-06-22,0.0,0.2,0.0,0,0,0
2010-06-23,8.5,21.5,15.0,0,0,0
2010-06-24,0.4,7.5,0.4,0,0,0
2010-06-25,10.6,39.0,4.1,0,0,0
2010-06-26,41.7,18.0,44.0,0,0,0
2010-06-27,0.3,1.5,0.5,0,0,0
2010-06-28,1.0,0.5,0.5,0,0,0
2010-06-29,38.5,12.0,70.5,0,0,0
2010-06-30,0.0,0.0,0.0,0,0,0
2010-07-01,0.0,8.0,0.0,0,0,0
2010-07-02,14.0,7.5,14.5,0,0,0
2010-07-03,56.2,35.9,59.0,0,0,0
2010-07-04,6.8,10.6,12.0,0,0,0
2010-07-05,0.0,0.0,0.0,0,0,0
2010-07-06,0.0,0.0,0.0,0,0,0
2010-07-07,0.4,0.0,0.4,0,0,0
