#Bulk Export - Points every 1 day(s),,,,
,,0570061RF,0570051RF,0570021RF
,,LDG. NADA AT PAHANG (3931013),SG. LEMBING PAHANG CONSOLIDATED COMPANY LIMITED MILL AT PAHANG (3930012),LDG. KUALA REMAN AT PAHANG (3931014)
,,Rainfall.Primary,Rainfall.Primary,Rainfall.Primary
Start of Interval (UTC+08:00),End of Interval (UTC+08:00),Total (mm),Total (mm),Total (mm)
2009-09-01 00:00:00,2009-09-02 00:00:00,14.0,2.0,31.5
2009-09-02 00:00:00,2009-09-03 00:00:00,0.0,0.0,0.5
2009-09-03 00:00:00,2009-09-04 00:00:00,2.5,13.0,0.5
2009-09-04 00:00:00,2009-09-05 00:00:00,0.5,0.0,1.5
2009-09-05 00:00:00,2009-09-06 00:00:00,0.4,0.4,0.4
2009-09-06 00:00:00,2009-09-07 00:00:00,0.1,2.1,0.1
2009-09-07 00:00:00,2009-09-08 00:00:00,0.0,0.0,0.0
2009-09-08 00:00:00,2009-09-09 00:00:00,0.0,0.0,0.4
2009-09-09 00:00:00,2009-09-10 00:00:00,6.0,6.0,23.1
2009-09-10 00:00:00,2009-09-11 00:00:00,0.0,0.0,0.0
2009-09-11 00:00:00,2009-09-12 00:00:00,0.5,4.7,0.5
2009-09-12 00:00:00,2009-09-13 00:00:00,4.4,18.6,0.5
2009-09-13 00:00:00,2009-09-14 00:00:00,1.1,1.7,8.0
2009-09-14 00:00:00,2009-09-15 00:00:00,0.5,0.0,0.0
2009-09-15 00:00:00,2009-09-16 00:00:00,0.0,0.0,0.0
2009-09-16 00:00:00,2009-09-17 00:00:00,0.0,0.0,0.0
2009-09-17 00:00:00,2009-09-18 00:00:00,16.3,63.8,7.8
2009-09-18 00:00:00,2009-09-19 00:00:00,28.7,20.2,27.2
2009-09-19 00:00:00,2009-09-20 00:00:00,3.6,7.2,8.1
2009-09-20 00:00:00,2009-09-21 00:00:00,0.9,1.3,0.9
2009-09-21 00:00:00,2009-09-22 00:00:00,5.0,9.0,1.0
2009-09-22 00:00:00,2009-09-23 00:00:00,17.0,0.0,17.0
2009-09-23 00:00:00,2009-09-24 00:00:00,52.0,13.4,63.9
2009-09-24 00:00:00,2009-09-25 00:00:00,2.0,1.1,3.1
2009-09-25 00:00:00,2009-09-26 00:00:00,0.0,0.0,0.5
2009-09-26 00:00:00,2009-09-27 00:00:00,0.0,0.0,0.0
2009-09-27 00:00:00,2009-09-28 00:00:00,0.0,0.0,0.0
2009-09-28 00:00:00,2009-09-29 00:00:00,10.6,8.5,7.5
2009-09-29 00:00:00,2009-09-30 00:00:00,0.4,0.0,0.0
2009-09-30 00:00:00,2009-10-01 00:00:00,1.5,6.5,1.5
2009-10-01 00:00:00,2009-10-02 00:00:00,0.5,0.5,0.5
2009-10-02 00:00:00,2009-10-03 00:00:00,14.5,11.5,24.5
2009-10-03 00:00:00,2009-10-04 00:00:00,1.9,7.0,1.0
2009-10-04 00:00:00,2009-10-05 00:00:00,4.5,2.2,3.4
2009-10-05 00:00:00,2009-10-06 00:00:00,17.4,2.7,18.1
2009-10-06 00:00:00,2009-10-07 00:00:00,10.2,6.5,21.0
2009-10-07 00:00:00,2009-10-08 00:00:00,0.0,0.0,0.0
2009-10-08 00:00:00,2009-10-09 00:00:00,10.8,4.0,6.1
2009-10-09 00:00:00,2009-10-10 00:00:00,4.1,5.4,3.2
2009-10-10 00:00:00,2009-10-11 00:00:00,3.1,3.6,2.6
2009-10-11 00:00:00,2009-10-12 00:00:00,0.0,12.5,0.5
2009-10-12 00:00:00,2009-10-13 00:00:00,0.0,0.0,0.5
2009-10-13 00:00:00,2009-10-14 00:00:00,4.6,0.5,30.7
2009-10-14 00:00:00,2009-10-15 00:00:00,4.4,2.0,3.3
2009-10-15 00:00:00,2009-10-16 00:00:00,0.4,0.4,0.4
2009-10-16 00:00:00,2009-10-17 00:00:00,49.9,19.1,31.9
2009-10-17 00:00:00,2009-10-18 00:00:00,17.2,43.3,2.2
2009-10-18 00:00:00,2009-10-19 00:00:00,0.5,0.2,11.0
2009-10-19 00:00:00,2009-10-20 00:00:00,6.5,0.0,1.0
2009-10-20 00:00:00,2009-10-21 00:00:00,0.5,32.5,0.0
2009-10-21 00:00:00,2009-10-22 00:00:00,26.0,12.7,29.5
2009-10-22 00:00:00,2009-10-23 00:00:00,5.7,2.8,12.5
2009-10-23 00:00:00,2009-10-24 00:00:00,15.8,20.5,0.0
2009-10-24 00:00:00,2009-10-25 00:00:00,8.5,9.2,0.5
2009-10-25 00:00:00,2009-10-26 00:00:00,2.5,13.8,2.0
2009-10-26 00:00:00,2009-10-27 00:00:00,32.5,14.0,28.5
2009-10-27 00:00:00,2009-10-28 00:00:00,0.4,0.4,15.5
2009-10-28 00:00:00,2009-10-29 00:00:00,8.0,31.5,46.5
2009-10-29 00:00:00,2009-10-30 00:00:00,2.6,1.1,6.0
2009-10-30 00:00:00,2009-10-31 00:00:00,0.0,0.0,0.0
2009-10-31 00:00:00,2009-11-01 00:00:00,0.0,0.0,0.0
2009-11-01 00:00:00,2009-11-02 00:00:00,5.0,0.0,2.5
2009-11-02 00:00:00,2009-11-03 00:00:00,12.1,1.5,0.5
2009-11-03 00:00:00,2009-11-04 00:00:00,0.4,13.9,0.0
2009-11-04 00:00:00,2009-11-05 00:00:00,23.9,40.6,34.0
2009-11-05 00:00:00,2009-11-06 00:00:00,73.5,53.4,82.5
2009-11-06 00:00:00,2009-11-07 00:00:00,48.0,63.6,50.9
2009-11-07 00:00:00,2009-11-08 00:00:00,0.1,0.1,0.1
